itemnumber,barcode,isbn,biblionumber,title,author,datelastseen
1025696,BL84469,,474140,"Dora The Explorer - Pirate Adventure, 1 Disc",,2014-02-02
1025718,BL84603,,474152,"Wives And Daughters, 2 Discs",,2014-01-21
1025738,BL84604,,474163,"Cranford, 2 Discs",,2014-01-19
1025739,BL84572,,474164,"Chuggington - Rattling Rivets, Disc 1",,2014-01-18
1025747,BL84575,,474168,"Sherlock - Series 2 - Complete, Disc 2",,2014-01-12
1025757,BL84578,,474171,"Interview With The Vampire, Disc 1",,2014-02-02
1025761,BL84605,,474172,"Detectives - Series 3, 1 Disc ",,2014-01-28
1025765,BL84579,,474174,"Canterbury Tales, Disc 2",,2014-02-01
1025767,BL84580,,474175,"Sanctum, Disc 1",,2014-02-01
1025783,BL84584,,474179,"Abigail's Party, Disc 1",,2014-01-18
1025881,BL84587,,474183,"Macbeth, Disc 1",,2014-01-12
1025889,BL84590,,474189,"Sparkhouse, Disc 1",,2014-01-21
1025890,BL84591,,474190,"Balamory - Games And Fun For Everyone, Disc 1",,2013-12-29
1025891,BL84592,,474191,"Life In Cold Blood, Disc 2",,2013-12-26
1025895,BL84593,,474192,"Chuggington - Chuggers On Safari, Disc 1",,2014-01-04
1025978,BL84430,,473972,"Bob The Builder - Let's Scram!, 1 Disc",,2014-02-02
1025979,BL84470,,474198,"Teletubbies Oooh!, 1 Disc",,2014-01-25
1025980,BL84471,,474199,"Teletubbies Again Again!, 1 Disc",,2014-01-25
1025989,BL84474,,474204,"Barney - Riff's Musical Zoo, 1 Disc",,2013-03-09
1026151,BL84598,,474374,"Chuggington:Traintastic Crew, 1 Disc",,2014-01-31
1026159,BL84596,,474376,"Bridge on the River Kwai ,2 Disc",,2013-07-03
1026163,BL84595,,474378,"How About You, 1 Disc",,2014-01-16
1026237,BL84475,,474388,"Barney - The Best Of Barney, 1 Disc ",,2014-01-24
1026238,BL84476,,474389,"Barney - Land Of Make Believe, 1 Disc",,2013-12-29
