borrowernumber,module_bit,code
302897,13,batch_upload_patron_images
308240,13,stage_marc_import
308240,13,schedule_tasks
308240,13,rotating_collections
308240,13,moderate_tags
308240,13,moderate_comments
308240,13,manage_staged_marc
308240,13,manage_csv_profiles
308240,13,label_creator
308240,13,inventory
308240,13,import_patrons
308240,13,export_catalog
308240,13,batch_upload_patron_images
308240,6,place_holds
308240,13,view_system_logs
308240,13,items_batchmod
