Item Type	Biblio Number	Barcode	Accession Date	Last Seen Date	Issue Date	Title	Author									
BK	88073	CH45140	2011-04-03	2011-06-09	2011-06-09	Guide to Pregnancy	Adriana Hunter									
BK	87087	CH44849	2011-04-03	2011-06-09	2011-06-09	New Pregnancy and Birth	Miriam Stoppard									
BK	87087	CH44849	2011-04-03	2011-06-09	2011-06-09	New Pregnancy and Birth	Miriam Stoppard									
BK	87967	CH51895	2011-04-03	2011-06-11	2011-06-11	Genius of Britain: The scientists who changed the world	Robert Uhlig									
BK	87967	CH51895	2011-04-03	2011-06-11	2011-06-11	Genius of Britain: The scientists who changed the world	Robert Uhlig									
BK	86619	CH38472	2011-04-03	2011-06-11	2011-06-11	How to Grow Leaders:The seven key principles of effective leadership development	John Adair									
BK	84523	CH8558	2011-04-03	2011-06-17	2011-06-17	Women Writing In India : 600 B C To The Present : Volume 2 : The Twentieth Century	Edited by Susie Tharu and K Lalita									
BK	82890	CH28653	2011-04-03	2011-06-17	2011-06-17	Power Electronics										
BK	83516	CH50393	2011-04-03	2011-06-20	2011-06-20	Memory: An Anthology	Harriet Harvey Wood	 A.S. Byatt								
BK	85025	CH17226	2011-04-03	2011-06-27	2011-06-27	Pharmacology	Catherine E Pelletier									
BK	91848	CH43648	2011-04-03	2011-06-28	2011-06-28	The 3 Mistakes of my Life	Chetan Bhagat									
BK	86084	CH24610	2011-04-03	2011-07-01	2011-07-01	Dark Winter										
BK	86084	CH24610	2011-04-03	2011-07-01	2011-07-01	Dark Winter										
BK	90301	CH14250	2011-04-03	2011-07-07	2011-07-07	Microbiology : A laboratory manual	James G Cappuccino and Natalie Sherman									
BK	88026	CH16181	2011-04-03	2011-07-08	2011-07-08	Medical microbiology & immunology : Examination & board review Levinson	 Warren	Ernest Jawetz and Warren Levinson								
BK	85861	CH31057	2011-04-03	2011-07-08	2011-07-08	Medical microbiology	edited by David Greenwood									
BK	84303	CH12588	2011-04-03	2011-07-09	2011-07-09	On wings of butterflies	Kavery Nambisan									
BK	81794	CH38840	2011-04-03	2011-07-12	2011-07-12	Speech making: The essential guide to effective Public Speaking										
BK	88372	CH52783	2011-04-03	2011-07-12	2011-07-12	Absolute Khushwant										
BK	83934	CH30665	2011-04-03	2011-07-12	2011-07-12	India in mind	Pankaj Mishra									
BK	83934	CH30665	2011-04-03	2011-07-12	2011-07-12	India in mind	Pankaj Mishra									
BK	85915	CH17051	2011-04-03	2011-07-14	2011-07-14	Marketing insights from A to Z: 80 concepts every manager needs to know	Philip Kotler									
BK	85915	CH17051	2011-04-03	2011-07-14	2011-07-14	Marketing insights from A to Z: 80 concepts every manager needs to know	Philip Kotler									
BK	86706	CH38574	2011-04-03	2011-07-14	2011-07-14	Services Marketing Management	Peter Mudie & Angela Pirrie									
BK	83668	CH45347	2011-04-03	2011-07-14	2011-07-14	Marketing	Paul Baines	 Chris Fill	 Kelly Page							
BK	88694	CH37208	2011-04-03	2011-07-25	2011-07-25	1000 Recipes	Martha Day									
BK	80298	CH31000	2011-04-03	2011-07-25	2011-07-25	Mathematical Methods For Physics And Engineering										
BK	89903	CH42612	2011-04-03	2011-07-28	2011-07-28	Cat's eye	Margaret Atwood									
BK	85195	CH37026	2011-04-03	2011-07-28	2011-07-28	In Custody	Anita Desai									
